Sample_ID,Type,Latency_ms,VRAM_Used_MB,RAM_Used_MB
132,Benchmark,718.3,0.0,3.45
133,Benchmark,2477.73,0.0,3.45
134,Benchmark,2100.17,0.0,3.45
135,Benchmark,1928.43,0.0,3.45
136,Benchmark,2796.42,0.0,3.45
137,Benchmark,937.23,0.0,3.45
138,Benchmark,2825.61,0.0,3.45
139,Benchmark,1158.06,0.0,3.45
140,Benchmark,2598.17,0.0,3.45
141,Benchmark,2187.0,0.0,3.45
142,Benchmark,1178.95,0.0,3.45
143,Benchmark,1185.42,0.0,3.45
144,Benchmark,3190.95,0.0,3.45
145,Benchmark,1149.72,0.0,3.45
146,Benchmark,2014.18,0.0,3.45
147,Benchmark,796.39,0.0,3.45
148,Benchmark,1945.53,0.0,3.45
149,Benchmark,2536.99,0.0,3.45
150,Benchmark,1414.96,0.0,3.45
151,Benchmark,1368.38,0.0,3.45
152,Benchmark,2484.2,0.0,3.45
153,Benchmark,1700.88,0.0,3.48
154,Benchmark,1745.38,0.0,3.48
155,Benchmark,1665.12,0.0,3.48
156,Benchmark,2393.65,0.0,3.48
157,Benchmark,1072.05,0.0,3.48
158,Benchmark,1488.7,0.0,3.48
159,Benchmark,1231.52,0.0,3.48
160,Benchmark,2389.75,0.0,3.48
161,Benchmark,1714.35,0.0,3.48
162,Benchmark,1063.45,0.0,3.48
163,Benchmark,1278.7,0.0,3.48
164,Benchmark,1775.26,0.0,3.48
165,Benchmark,1836.04,0.0,3.48
166,Benchmark,412.71,0.0,3.48
167,Benchmark,2184.65,0.0,3.48
168,Benchmark,1678.18,0.0,3.48
169,Benchmark,1569.06,0.0,3.48
170,Benchmark,786.17,0.0,3.48
171,Benchmark,955.15,0.0,3.48
172,Benchmark,1406.46,0.0,3.48
173,Benchmark,2595.9,0.0,3.48
174,Benchmark,1354.69,0.0,3.48
175,Benchmark,390.74,0.0,3.48
176,Benchmark,2543.64,0.0,3.48
177,Benchmark,1580.97,0.0,3.48
178,Benchmark,1628.97,0.0,3.48
179,Benchmark,843.23,0.0,3.48
180,Benchmark,1753.35,0.0,3.48
181,Benchmark,2729.16,0.0,3.48
182,Benchmark,2056.17,0.0,3.48
183,Benchmark,2083.64,0.0,3.48
184,Benchmark,1569.18,0.0,3.48
185,Benchmark,806.71,0.0,3.48
186,Benchmark,1925.7,0.0,3.48
187,Benchmark,1508.38,0.0,3.48
188,Benchmark,905.29,0.0,3.48
189,Benchmark,1904.6,0.0,3.48
190,Benchmark,1002.17,0.0,3.48
191,Benchmark,1325.34,0.0,3.48
192,Benchmark,1966.14,0.0,3.48
193,Benchmark,3986.38,0.0,3.48
194,Benchmark,3708.69,0.0,3.48
195,Benchmark,3919.98,0.0,3.48
196,Benchmark,3528.13,0.0,3.48
197,Benchmark,2193.54,0.0,3.48
198,Benchmark,2336.51,0.0,3.48
